Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
386372,"Mort (Discworld, #4; Death, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0061020680""","=""9780061020681""",5,4.23,Harpertorch,Mass Market Paperback,243,2001,1987,2018/08/25,2018/08/17,,,read,,,,1,,,0,,,,,
34376766,"Blood, Sweat, and Pixels: The Triumphant, Turbulent Stories Behind How Video Games Are Made",Jason Schreier,"Schreier, Jason",,"=""""","=""""",5,4.22,Harper Paperbacks,Kindle Edition,304,2017,2017,2018/07/31,2018/07/23,,,read,,,,1,,,0,,,,,
22886612,"Nemesis Games (The Expanse, #5)",James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",3,4.42,Orbit,Kindle Edition,536,2015,2015,2018/07/23,2018/07/03,,,read,,,,1,,,0,,,,,
417730,"Dreamsongs, Volume II",George R.R. Martin,"Martin, George R.R.",Leslie Kay Swigart,"=""0553806580""","=""9780553806588""",0,4.03,Bantam Spectra,Hardcover,740,2007,2003,,2018/07/20,,,read,,,,1,,,0,,,,,
937249,"Separation of Power (Mitch Rapp, #5)",Vince Flynn,"Flynn, Vince",,"=""0671047345""","=""9780671047344""",4,4.31,Pocket Books,Paperback,448,2002,2001,2018/06/17,2018/06/06,,,read,,,,1,,,0,,,,,
2315892,Best Served Cold,Joe Abercrombie,"Abercrombie, Joe",,"=""0575082453""","=""9780575082458""",5,4.19,Gollancz,Hardcover,534,2009,2009,2018/06/06,2018/05/10,,,read,,,,1,,,0,,,,,
38737076,Altered Carbon,Richard K. Morgan,"Morgan, Richard K.",,"=""""","=""""",5,4.04,Gollancz,Kindle Edition,546,2017,2002,2018/04/17,2018/03/26,,,read,,,,1,,,0,,,,,
19428132,"The Third Option (Mitch Rapp, #4)",Vince Flynn,"Flynn, Vince",,"=""""","=""""",4,4.26,Atria,Kindle Edition,380,2001,2000,2018/03/26,2018/03/12,,,read,,,,1,,,0,,,,,
22752699,Seveneves,Neal Stephenson,"Stephenson, Neal",,"=""0062190415""","=""9780062190413""",0,3.99,William Morrow,ebook,880,2015,2015,2018/03/12,2018/02/15,,,read,,,,1,,,0,,,,,
944076,"Last Argument of Kings (The First Law, #3)",Joe Abercrombie,"Abercrombie, Joe",,"=""0575077905""","=""9780575077904""",5,4.30,Gollancz,Trade Paperback,536,2008,2008,2018/02/04,2018/01/09,,,read,Splendid!,,,1,,,0,,,,,
8251464,"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,"Card, Orson Scott",,"=""""","=""""",5,4.08,Tor Books,Kindle Edition,419,2009,1986,2018/01/09,2017/12/25,,,read,,,,1,,,0,,,,,
32283133,"Origin (Robert Langdon, #5)",Dan Brown,"Brown, Dan",,"=""0385514239""","=""9780385514231""",4,3.88,Doubleday,Hardcover,456,2017,2017,2017/12/25,2017/12/04,,,read,,,,1,,,0,,,,,
